t=2021-04-13T12:22:45+0000 lvl=info msg="no configuration paths supplied"
t=2021-04-13T12:22:45+0000 lvl=info msg="using configuration at default config path" path=/home/runner/.ngrok2/ngrok.yml
t=2021-04-13T12:22:45+0000 lvl=info msg="open config file" path=/home/runner/.ngrok2/ngrok.yml err=nil
t=2021-04-13T12:22:45+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-04-13T12:22:46+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-04-13T12:22:46+0000 lvl=info msg="client session established" obj=csess id=4fab9611bda6
t=2021-04-13T15:31:59+0000 lvl=info msg="join connections" obj=join id=d896cb04cc4a l=127.0.0.1:1025 r=45.251.33.122:1322
t=2021-04-13T15:35:54+0000 lvl=info msg="join connections" obj=join id=03073b86e270 l=127.0.0.1:1025 r=99.22.52.215:57850
t=2021-04-13T15:36:33+0000 lvl=info msg="join connections" obj=join id=bd08c2d42637 l=127.0.0.1:1025 r=99.22.52.215:57854
t=2021-04-13T15:36:33+0000 lvl=info msg="join connections" obj=join id=54512d150cef l=127.0.0.1:1025 r=99.22.52.215:57853
t=2021-04-13T15:36:48+0000 lvl=info msg="join connections" obj=join id=ac3bb1654707 l=127.0.0.1:1025 r=99.22.52.215:57855
t=2021-04-13T15:37:03+0000 lvl=info msg="join connections" obj=join id=04a33a885996 l=127.0.0.1:1025 r=99.22.52.215:57864
t=2021-04-13T15:37:18+0000 lvl=info msg="join connections" obj=join id=cdd8175703c2 l=127.0.0.1:1025 r=99.22.52.215:57866
t=2021-04-13T15:37:37+0000 lvl=info msg="join connections" obj=join id=c6369484ab96 l=127.0.0.1:1025 r=99.22.52.215:57877
t=2021-04-13T15:37:57+0000 lvl=info msg="join connections" obj=join id=f38f9822eb52 l=127.0.0.1:1025 r=99.22.52.215:57901
t=2021-04-13T15:38:08+0000 lvl=info msg="join connections" obj=join id=416b14802b1c l=127.0.0.1:1025 r=99.22.52.215:57911
t=2021-04-13T15:38:22+0000 lvl=info msg="join connections" obj=join id=500ae877d03d l=127.0.0.1:1025 r=99.22.52.215:57914
t=2021-04-13T15:38:27+0000 lvl=info msg="join connections" obj=join id=34badc753da3 l=127.0.0.1:1025 r=180.243.3.57:60718
t=2021-04-13T15:38:37+0000 lvl=info msg="join connections" obj=join id=6b504910c5c8 l=127.0.0.1:1025 r=99.22.52.215:57915
t=2021-04-13T15:38:47+0000 lvl=info msg="join connections" obj=join id=9d735b2f2a03 l=127.0.0.1:1025 r=180.243.3.57:54313
t=2021-04-13T15:38:52+0000 lvl=info msg="join connections" obj=join id=b5ab2d7b708e l=127.0.0.1:1025 r=99.22.52.215:57916
t=2021-04-13T15:39:08+0000 lvl=info msg="join connections" obj=join id=05869c8708b6 l=127.0.0.1:1025 r=99.22.52.215:57917
t=2021-04-13T15:42:03+0000 lvl=info msg="join connections" obj=join id=e7413a9491e4 l=127.0.0.1:1025 r=99.22.52.215:57973
t=2021-04-13T15:42:07+0000 lvl=info msg="join connections" obj=join id=f42109069815 l=127.0.0.1:1025 r=99.22.52.215:57977
t=2021-04-13T15:54:53+0000 lvl=info msg="join connections" obj=join id=62f9cc2608af l=127.0.0.1:1025 r=99.22.52.215:58192
t=2021-04-13T15:55:15+0000 lvl=info msg="join connections" obj=join id=7cb1f9f889cc l=127.0.0.1:1025 r=99.22.52.215:58198
t=2021-04-13T16:05:06+0000 lvl=info msg="join connections" obj=join id=5e922db3c73c l=127.0.0.1:1025 r=99.22.52.215:58298
